Company name_1,Status_1,Year_1,Current assets_1,Cost goods sold_1,DEP and AMO_1,EBITDA_1,Inventory_1,Net income_1,Total Receivables_1,Market value_1,Net sales_1,Total assets_1,Long-term debt_1,EBIT_1,Gross Profit_1,Current Liabilities _1,Retained Earnings_1,Total Revenue_1,Total Liabilities_1,Operating Expenses_1,Current assets_2,Cost goods sold_2,DEP and AMO_2,EBITDA_2,Inventory_2,Net income_2,Total Receivables_2,Market value_2,Net sales_2,Total assets_2,Long-term debt_2,EBIT_2,Gross Profit_2,Current Liabilities _2,Retained Earnings_2,Total Revenue_2,Total Liabilities_2,Operating Expenses_2,Current assets_3,Cost goods sold_3,DEP and AMO_3,EBITDA_3,Inventory_3,Net income_3,Total Receivables_3,Market value_3,Net sales_3,Total assets_3,Long-term debt_3,EBIT_3,Gross Profit_3,Current Liabilities _3,Retained Earnings_3,Total Revenue_3,Total Liabilities_3,Operating Expenses_3
C_1007,alive,2011,98.183,364.023,8.357,14.185,53.825,0.181,30.845,93.7565,437.321,297.144,81.325,5.828,73.298,37.562,114.313,437.321,148.337,423.136,92.338,361.648,7.685,15.777,53.014,-54.856,32.615,98.346,441.593,206.899,64.805,8.092,79.945,40.175,59.401,441.593,111.99,425.816,131.99,229.379,3.837,10.109,32.718,4.192,32.89,114.2453,287.849,203.944,13.245,6.272,58.47,82.918,63.715,287.849,103.657,277.74
C_1008,alive,2003,48.793,20.961,1.617,10.206,11.728,4.962,24.956,50.9082,75.46,65.652,1.217,8.589,54.499,22.214,18.799,75.46,24.107,65.254,54.647,26.625,1.811,6.821,12.99,3.05,28.803,76.7927,85.961,76.209,2.436,5.01,59.336,17.164,22.32,85.961,19.878,79.14,64.992,29.277,1.668,6.31,15.353,2.551,37.269,52.4881,96.074,89.319,4.127,4.642,66.797,26.434,23.673,96.074,31.0,89.764
C_1009,alive,2016,24873.0,8296.0,2917.0,9510.0,3338.0,4028.0,5591.0,113785.5233,29710.0,99816.0,25921.0,6593.0,21414.0,14220.0,20743.0,29710.0,49400.0,20200.0,22980.0,8149.0,2644.0,9617.0,3579.0,3104.0,5987.0,108513.4883,29953.0,91393.0,23699.0,6973.0,21804.0,10084.0,22593.0,29953.0,40571.0,20336.0,21967.0,8162.0,2659.0,9908.0,3753.0,4631.0,6222.0,119067.3894,30557.0,89694.0,24486.0,7249.0,22395.0,8472.0,23559.0,30557.0,39482.0,20649.0
C_101,alive,2016,297.461,790.91,31.6,153.825,73.409,85.79,187.483,1639.9796,1114.533,784.658,65.4,122.225,323.623,186.058,310.906,1114.533,314.081,960.708,336.278,954.455,37.1,159.508,85.028,79.488,213.892,1214.7361,1326.173,1022.32,215.86,122.408,371.718,208.152,349.206,1326.173,510.965,1166.665,371.898,1071.972,37.1,106.525,165.835,45.694,160.371,964.1654,1402.637,1068.168,245.724,69.425,330.665,227.512,335.47,1402.637,571.851,1296.112
C_1010,alive,2016,3.233,3.097,3.28,4.488,0.0,0.435,1.073,27.2995,14.892,19.883,2.7,1.208,11.795,4.433,-1.945,14.892,7.556,10.404,1.886,3.531,2.919,1.536,0.0,-3.52,1.308,20.7049,13.871,17.806,3.8,-1.383,10.34,5.082,-6.398,13.871,9.353,12.335,1.487,5.262,3.519,0.074,0.0,-5.484,1.187,11.1977,14.818,15.214,6.05,-3.445,9.556,5.027,-11.882,14.818,11.6,14.744
C_1011,alive,2001,0.546,0.73,0.021,0.026,0.216,0.002,0.258,0.2689,1.767,0.625,0.038,0.005,1.037,0.102,-3.587,1.767,0.14,1.741,1.025,1.137,0.025,0.136,0.84,0.101,0.155,0.6218,3.052,1.116,0.0,0.111,1.915,0.522,-3.485,3.052,0.522,2.916,0.76,1.441,0.026,0.088,0.419,0.063,0.134,0.9377,3.173,0.829,0.0,0.062,1.732,0.167,-3.422,3.173,0.167,3.085
C_1012,alive,2016,31042.0,146148.0,2475.0,13019.0,14760.0,5317.0,12164.0,83723.51,177526.0,94462.0,25615.0,10544.0,31378.0,26250.0,38678.0,177526.0,57628.0,164507.0,31229.0,153739.0,2479.0,12523.0,15296.0,6622.0,13181.0,73515.0,184765.0,95131.0,22181.0,10044.0,31026.0,30648.0,43391.0,184765.0,57436.0,172242.0,45243.0,160323.0,2718.0,13509.0,16450.0,-594.0,17631.0,84848.4,194579.0,196456.0,71444.0,10791.0,34256.0,44009.0,41013.0,194579.0,137913.0,181070.0
C_1013,alive,2005,16.614,25.038,2.436,7.998,4.948,2.725,5.846,58.0194,45.008,52.8,8.759,5.562,19.97,8.272,-18.41,45.008,17.031,37.01,22.243,29.941,2.778,9.146,5.418,2.673,8.156,88.3941,52.588,55.3,7.818,6.368,22.647,7.866,-15.737,52.588,15.8,43.442,16.861,32.536,3.055,4.291,6.23,0.317,6.312,48.6588,51.677,48.746,0.645,1.236,19.141,6.626,-15.42,51.677,7.396,47.386
C_1014,alive,2005,426.842,59.187,10.022,82.469,35.139,62.357,58.199,1956.3046,268.272,556.852,150.0,72.447,209.085,150.724,185.545,268.272,330.263,185.803,637.38,68.963,9.693,77.91,38.073,290.614,65.419,1950.4,301.974,709.768,150.0,68.217,233.011,112.731,430.628,301.974,274.9,224.064,290.262,81.681,13.614,96.385,49.94,63.415,82.06,867.7671,373.208,440.579,152.7,82.771,291.527,118.389,139.66,373.208,297.545,276.823
C_1015,alive,2014,866.246,162.878,49.601,255.249,22.512,147.139,567.606,2664.3279,1244.133,2049.022,230.4,205.648,1081.255,441.53,440.014,1244.133,762.796,988.884,898.467,145.906,52.468,228.445,24.762,96.277,516.329,1997.5529,1180.988,2064.364,240.076,175.977,1035.082,423.31,501.746,1180.988,743.935,952.543,1023.851,147.033,53.223,268.639,18.575,154.866,531.447,4074.2365,1282.467,2261.185,15.224,215.416,1135.434,762.755,638.519,1282.467,885.502,1013.828
C_1016,alive,2016,30614.0,8149.0,5214.0,15309.0,4866.0,3920.0,7018.0,161817.794,39807.0,95377.0,24274.0,10095.0,31658.0,17204.0,38907.0,39807.0,55069.0,24498.0,24766.0,7926.0,4577.0,12725.0,5096.0,2394.0,6918.0,151738.3572,40122.0,87872.0,21353.0,8148.0,32196.0,18614.0,36440.0,40122.0,53303.0,27397.0,25875.0,9171.0,4317.0,13404.0,5440.0,6220.0,7226.0,198097.5096,42294.0,82637.0,19806.0,9087.0,33123.0,22206.0,37034.0,42294.0,55755.0,28890.0
C_1017,alive,2016,481.156,611.337,59.152,316.244,20.678,33.937,273.927,2255.2535,1649.628,2628.285,620.0,257.092,1038.291,477.892,790.205,1649.628,1739.242,1333.384,505.253,602.785,53.892,348.907,21.89,188.928,289.052,2620.206,1713.361,2729.623,635.737,295.015,1110.576,459.67,896.694,1713.361,1733.651,1364.454,1979.1,860.6,129.0,416.0,44.2,99.4,542.0,2277.15,2247.4,6727.2,3117.9,287.0,1386.8,1190.3,853.1,2247.4,5107.1,1831.4
C_1018,alive,2006,16.721,14.694,2.592,0.841,3.917,-2.225,5.951,31.41,27.421,34.254,4.564,-1.751,12.727,3.367,7.989,27.421,7.969,26.58,13.782,10.423,2.365,1.45,5.04,-5.426,5.964,29.0552,21.887,25.572,3.763,-0.915,11.464,3.874,1.174,21.887,7.698,20.437,14.28,15.71,2.564,3.302,6.78,0.098,5.766,8.3542,29.229,24.032,2.611,0.738,13.519,3.19,0.876,29.229,5.865,25.927
C_1019,alive,2016,35.785,30.384,8.737,26.4,13.873,11.183,14.319,457.4256,93.665,171.733,53.675,17.663,63.281,16.567,71.896,93.665,73.912,67.265,31.988,29.41,9.471,28.421,9.228,-2.962,14.302,564.2204,96.179,164.101,44.635,18.95,66.769,17.29,68.845,96.179,64.74,67.758,33.623,32.641,9.428,27.433,6.772,7.484,12.516,896.645,103.135,156.767,20.613,18.005,70.494,23.661,71.488,103.135,45.456,75.702
C_102,alive,2016,106869.0,121576.0,9800.0,69276.0,2132.0,45687.0,29299.0,603253.5663,215091.0,321686.0,75427.0,59476.0,93515.0,79006.0,96998.0,215091.0,193437.0,145815.0,128645.0,131648.0,9400.0,70744.0,4855.0,48351.0,35673.0,790050.0981,229234.0,375319.0,97207.0,61344.0,97586.0,100814.0,98180.0,229234.0,241272.0,158490.0,131339.0,152853.0,10903.0,81565.0,3956.0,59531.0,48995.0,1073390.54,265359.0,365725.0,93735.0,70662.0,112506.0,116866.0,66946.0,265359.0,258578.0,183794.0
C_1020,failed,2002,166.144,370.384,18.838,27.466,8.459,4.329,40.682,112.3548,456.88,247.41,0.846,8.628,86.496,62.675,127.127,456.88,69.465,429.414,175.793,367.841,17.144,21.267,8.664,4.673,28.453,189.08,449.079,267.32,0.69,4.123,81.238,76.057,131.73,449.079,82.391,427.812,187.547,368.925,14.634,23.273,11.034,7.355,31.176,182.2856,456.067,280.954,0.555,8.639,87.142,82.206,138.117,456.067,88.275,432.794
C_1021,alive,2016,14.25,0.0,0.0,9.608,0.0,9.613,0.045,179.744,10.732,14.25,0.0,9.608,10.732,4.045,10.205,10.732,4.045,1.124,26.123,0.0,0.0,33.403,0.0,33.496,1.956,325.376,34.475,26.123,0.0,33.403,34.475,15.616,10.507,34.475,15.616,1.072,35.454,0.0,0.0,45.641,0.0,45.559,2.395,360.0128,47.033,35.454,0.0,45.641,47.033,18.648,16.806,47.033,18.648,1.392
C_1022,alive,2010,65.346,54.762,1.825,10.795,15.474,6.139,15.311,159.0393,88.865,108.046,3.012,8.97,34.103,11.208,89.912,88.865,23.573,78.07,72.436,62.878,1.915,12.805,17.848,7.134,17.373,153.9827,100.161,115.509,2.688,10.89,37.283,16.802,88.511,100.161,31.686,87.356,73.143,70.133,2.022,14.595,17.871,8.045,19.095,152.4079,109.942,116.255,2.27,12.573,39.809,13.473,92.44,109.942,27.573,95.347
C_1023,alive,1999,0.274,1.122,0.137,-0.048,0.0,-0.233,0.233,2.2563,1.43,1.286,0.212,-0.185,0.308,1.093,-2.897,1.43,1.548,1.478,0.519,1.21,0.202,0.135,0.0,0.85,0.379,1.6471,1.712,1.95,0.136,-0.067,0.502,1.083,-2.047,1.712,1.463,1.577,0.291,1.265,0.237,0.111,0.0,0.807,0.214,0.2211,1.741,1.615,0.067,-0.126,0.476,0.914,-2.117,1.741,1.224,1.63
C_1024,alive,2016,530.3,574.9,24.3,137.9,57.9,92.9,165.3,1638.8609,816.5,704.0,27.0,113.6,241.6,124.4,401.3,816.5,162.9,678.6,550.0,645.4,28.1,153.2,84.1,57.2,202.6,1470.3948,908.3,915.9,55.3,125.1,262.9,157.0,485.9,908.3,285.9,755.1,453.5,701.7,43.3,165.5,116.7,91.6,234.4,1091.4864,1000.3,1231.7,278.0,122.2,298.6,180.9,531.6,1000.3,542.0,834.8
C_1025,alive,2016,9.986,27.743,0.061,2.852,2.627,1.74,1.895,26.9402,36.016,10.161,0.0,2.791,8.273,5.072,2.821,36.016,5.072,33.164,23.8,73.063,0.576,6.485,7.763,3.167,13.638,283.1594,93.978,57.135,3.731,5.909,20.915,21.18,4.948,93.978,24.911,87.493,36.374,111.922,1.579,8.81,16.362,3.966,16.906,450.8361,150.007,95.474,8.817,7.231,38.085,29.068,7.511,150.007,38.443,141.197
C_1026,alive,2011,58.641,56.845,6.128,21.614,6.266,17.464,10.561,159.6805,90.145,230.306,35.343,15.486,33.3,16.791,155.673,90.145,73.89,68.531,36.529,71.279,8.074,32.976,5.878,16.664,11.201,161.205,115.783,216.76,27.554,24.902,44.504,39.546,127.601,115.783,88.573,82.807,107.575,75.425,9.147,32.588,6.108,12.455,11.665,193.182,119.108,291.884,104.711,23.441,43.683,22.281,141.184,119.108,150.115,86.52
C_1027,alive,2015,0.355,4.129,1.608,-2.862,0.0,-3.98,0.278,4.7829,2.422,16.467,5.58,-4.47,-1.707,0.332,1.446,2.422,7.123,5.284,0.505,0.879,1.213,0.523,0.0,-0.695,0.396,7.8628,2.378,12.708,2.9,-0.69,1.499,0.137,0.751,2.378,4.006,1.855,1.372,1.07,0.911,0.68,0.0,-0.321,0.832,6.2332,2.705,10.401,0.7,-0.231,1.635,0.447,0.43,2.705,1.999,2.025
C_1028,alive,2016,1542.805,3049.674,115.801,842.472,1127.777,378.159,29.04,3802.4274,5197.292,2147.64,2723.187,726.671,2147.618,1024.224,-1944.503,5197.292,3846.066,4354.82,1676.982,3114.259,118.912,854.302,1123.288,390.498,29.968,4888.1635,5361.96,2300.215,2701.764,735.39,2247.701,957.945,-1543.441,5361.96,3809.71,4507.658,1515.524,3124.005,124.271,792.121,1108.715,319.545,62.263,2186.7476,5271.944,2128.336,2681.0,667.85,2147.939,932.553,-1642.743,5271.944,3754.531,4479.823
C_1029,alive,1999,9.847,76.191,3.565,-1.622,0.439,-7.146,6.413,204.4998,95.087,26.843,7.1,-5.187,18.896,6.965,-13.297,95.087,14.211,96.709,25.502,84.955,5.458,9.147,0.0,1.993,16.888,85.1231,113.242,51.4,8.606,3.689,28.287,22.911,-11.303,113.242,33.233,104.095,34.683,69.607,4.648,25.743,0.144,6.738,17.218,212.2582,117.951,77.785,6.612,21.095,48.344,19.919,-17.083,117.951,30.945,92.208
C_103,alive,2016,8353.0,5949.0,389.0,2548.0,2050.0,1721.0,2279.0,31348.24,10825.0,14588.0,3143.0,2159.0,4876.0,3632.0,15137.0,10825.0,7371.0,8277.0,12918.0,7618.0,407.0,4278.0,2930.0,3434.0,2338.0,59815.8,14537.0,19419.0,5304.0,3871.0,6919.0,4115.0,18194.0,14537.0,10070.0,10259.0,10747.0,8998.0,457.0,5258.0,3722.0,3313.0,2565.0,31794.96,17253.0,17773.0,5309.0,4801.0,8255.0,4068.0,20749.0,17253.0,10934.0,11995.0
C_1030,alive,2012,916.096,485.773,23.325,259.525,44.278,166.983,235.555,4111.8208,1107.531,1566.02,0.065,236.2,621.758,415.969,982.975,1107.531,469.889,848.006,984.238,598.985,27.781,258.339,49.273,171.418,241.226,3310.9858,1268.085,1589.038,0.094,230.558,669.1,418.585,1113.138,1268.085,470.768,1009.746,1106.47,662.81,28.569,293.496,57.583,182.014,289.235,5080.957,1405.397,1752.644,0.062,264.927,742.587,461.299,1224.328,1405.397,523.186,1111.901
C_1031,alive,2016,9495.0,6914.0,2980.0,3212.0,2889.0,-276.0,2068.0,17149.6,12399.0,27540.0,9154.0,232.0,5485.0,4835.0,5264.0,12399.0,14612.0,9187.0,12457.0,7913.0,3866.0,9855.0,3123.0,5089.0,3759.0,35550.64,20322.0,35336.0,9872.0,5989.0,12409.0,5334.0,10289.0,20322.0,15845.0,10467.0,16039.0,7741.0,4759.0,19696.0,3595.0,14135.0,5478.0,60975.72,30391.0,43376.0,3777.0,14937.0,22650.0,5754.0,24405.0,30391.0,10112.0,10695.0
C_1032,alive,2016,23.183,11.736,0.29,0.579,7.617,0.235,2.177,21.913,17.599,25.369,0.0,0.289,5.863,2.54,22.469,17.599,2.957,17.02,21.247,11.883,0.293,1.893,5.865,1.406,3.462,18.6905,19.725,25.254,0.0,1.6,7.842,1.694,23.617,19.725,1.694,17.832,23.809,12.682,0.319,1.63,6.578,1.441,3.772,20.624,20.967,27.646,0.0,1.311,8.285,2.903,24.8,20.967,2.903,19.337
C_1033,alive,2015,736.6,525.1,132.7,276.9,227.2,84.6,186.9,3121.182,1245.6,2450.1,953.9,144.2,720.5,201.6,380.1,1245.6,1242.9,968.7,734.9,667.8,207.3,357.1,213.1,-32.6,245.2,4768.928,1655.0,4423.0,2138.5,149.8,987.2,319.6,348.4,1655.0,2694.1,1297.9,726.9,605.6,240.4,535.8,239.1,176.3,267.9,5987.124,1811.8,4323.1,1735.6,295.4,1206.2,379.4,527.3,1811.8,2328.8,1276.0
C_1034,alive,2016,1.78,2.15,0.095,0.066,0.449,-0.033,0.347,1.5486,3.545,2.132,0.319,-0.029,1.395,0.342,-0.516,3.545,0.661,3.479,1.505,1.947,0.081,-0.172,0.458,-0.264,0.351,1.5738,3.037,1.831,0.27,-0.253,1.09,0.355,-0.78,3.037,0.625,3.209,1.509,1.943,0.073,0.065,0.378,-0.016,0.403,1.4964,3.342,1.77,0.219,-0.008,1.399,0.361,-0.796,3.342,0.58,3.277
C_1036,alive,2001,0.596,10.078,0.445,-1.579,0.0,-2.262,0.243,1.5505,8.499,6.166,5.415,-2.024,-1.579,2.946,-4.324,8.499,8.361,10.078,2.567,11.089,0.422,-2.407,0.0,-4.969,0.401,3.544,8.682,8.627,13.174,-2.829,-2.407,2.617,-9.293,8.682,15.791,11.089,1.571,12.18,0.385,-3.922,0.0,-8.717,0.241,6.6975,8.258,12.545,24.459,-4.307,-3.922,3.067,-18.01,8.258,27.526,12.18
C_1037,alive,2016,3684.268,7181.321,1674.612,3664.324,878.123,-564.503,1170.167,13160.6811,10845.645,45904.434,14492.237,1989.712,3664.324,3200.096,8160.6,10845.645,37619.44,7181.321,3285.331,7497.034,1795.663,3577.447,905.865,425.353,1212.95,14692.36,11074.481,46707.149,14337.274,1781.784,3577.447,5036.207,7954.171,11074.481,38516.831,7497.034,2958.064,8249.816,1757.95,2759.636,870.147,862.555,1114.405,16272.0499,11009.452,48275.066,15538.681,1001.686,2759.636,5443.544,8163.977,11009.452,39211.359,8249.816
C_1038,alive,2016,26.716,79.478,12.796,53.428,4.094,22.742,16.719,699.7502,132.906,620.161,134.538,40.632,53.428,47.056,65.392,132.906,399.288,79.478,29.247,78.233,13.922,52.542,4.118,22.809,17.784,652.6083,130.775,661.14,139.045,38.62,52.542,64.537,74.055,130.775,429.532,78.233,30.815,85.898,15.037,52.179,5.411,32.452,19.055,875.1001,138.077,767.83,152.851,37.142,52.179,94.363,91.433,138.077,516.61,85.898
C_1039,alive,2016,2.618,2.047,0.037,0.212,0.0,0.082,1.704,8.4949,5.067,2.945,0.0,0.175,3.02,1.048,-8.659,5.067,1.188,4.855,2.944,2.994,0.045,0.502,0.0,0.236,1.698,17.18,7.196,3.159,0.0,0.457,4.202,1.118,-8.424,7.196,1.139,6.694,3.345,3.603,0.082,0.575,0.0,0.329,1.044,14.224,8.561,3.758,0.0,0.493,4.958,1.371,-8.094,8.561,1.39,7.986
C_1040,alive,2003,2.43,7.062,0.981,1.99,0.145,0.471,1.733,3.5399,11.195,9.946,1.949,1.009,4.133,2.255,3.574,11.195,4.589,9.205,2.423,8.26,0.984,2.533,0.191,0.626,1.704,4.3568,13.032,9.984,1.595,1.549,4.772,1.912,4.2,13.032,4.001,10.499,4.468,8.322,0.948,2.977,0.164,0.728,1.869,7.8967,14.016,11.015,1.05,2.029,5.694,2.8,4.928,14.016,4.304,11.039
C_1041,alive,2015,480.5,1343.7,47.0,258.5,128.2,136.7,211.0,1895.4209,2264.9,1235.2,221.9,211.5,921.2,390.0,370.8,2264.9,683.5,2006.4,491.9,1361.1,52.9,256.2,152.4,123.9,186.6,1884.0398,2278.2,1306.3,199.9,203.3,917.1,385.7,437.3,2278.2,694.0,2022.0,645.4,1447.3,60.9,257.9,162.4,128.1,219.3,1939.8153,2381.2,1479.5,275.0,197.0,933.9,413.8,537.0,2381.2,784.2,2123.3
C_1043,alive,2007,690.089,572.177,123.747,376.177,277.355,136.472,292.143,4008.215,1531.555,2777.257,1260.043,252.43,959.378,282.241,821.462,1531.555,1634.446,1155.378,752.443,600.537,132.285,386.395,259.36,145.801,274.529,2846.9952,1602.138,2751.65,1128.901,254.11,1001.601,247.363,925.158,1602.138,1467.649,1215.743,802.268,608.377,126.278,410.14,257.809,177.004,280.93,4029.0268,1654.41,2810.789,890.242,283.862,1046.033,319.707,1116.966,1654.41,1307.755,1244.27
C_1044,alive,2000,24.855,31.347,1.36,1.146,12.877,-1.431,7.933,3.8535,40.73,35.615,9.654,-0.214,9.383,14.996,0.575,40.73,24.699,39.584,21.452,38.373,1.035,-0.507,11.416,-2.277,7.188,8.6318,45.249,30.551,6.65,-1.542,6.876,15.242,-1.702,45.249,21.912,45.756,22.102,36.923,0.934,3.883,11.527,4.663,7.799,17.4606,48.47,33.403,7.216,2.949,11.547,11.93,2.858,48.47,20.091,44.587
C_1045,alive,2016,472.806,589.602,34.885,209.468,103.066,91.937,215.694,2616.2369,1149.53,1353.92,363.836,174.583,559.928,221.41,671.169,1149.53,792.708,940.062,622.297,618.977,37.434,234.195,153.739,26.027,273.131,2963.047,1196.809,1684.826,447.832,196.761,577.832,289.279,696.913,1196.809,1082.248,962.614,656.623,708.832,37.409,226.886,156.602,124.15,263.387,3631.9403,1358.104,1608.012,341.311,189.477,649.272,282.06,716.65,1358.104,968.493,1131.218
C_1046,failed,2012,361.866,1554.234,307.043,-1091.443,5.705,-1393.285,168.847,1473.064,546.609,2323.732,1848.972,-1398.486,-1007.625,237.931,-3043.41,546.609,2174.339,1638.052,305.854,292.439,248.289,249.992,3.087,22.204,217.133,1448.6742,634.309,2408.628,1858.912,1.703,341.87,349.17,-3064.634,634.309,2260.723,384.317,167.83,182.969,51.914,70.512,0.0,24.362,88.238,4.5423,283.646,840.347,0.0,18.598,100.677,1666.97,-4378.011,283.646,1686.546,213.134
C_1047,alive,2005,16.926,0.0,0.003,-0.274,0.0,1.779,0.094,48.307,0.644,26.137,0.0,-0.277,0.644,3.559,17.752,0.644,4.627,0.918,16.215,0.0,0.002,-0.567,0.0,3.224,0.057,63.8945,0.784,25.662,0.0,-0.569,0.784,1.572,18.817,0.784,2.552,1.351,18.439,0.0,0.004,-0.414,0.0,4.981,0.088,59.3555,0.784,27.765,0.0,-0.418,0.784,1.324,21.354,0.784,2.118,1.198
